Area;XM;YM;Unique_ID;Initial droplet size;Initial cell count;Sample;Plate;Location;Area (mm2)
64433;1370.063;179.019;S4_5_8000;5;8000;5_8000;S4;Corner;119.1962759
62054;992.734;193.554;S4_5_4000;5;4000;5_4000;S4;Edge;114.7953021
64576;174.512;206.97;S4_5_1000;5;1000;5_1000;S4;Corner;119.4608153
61626;582.885;212.892;S4_5_2000;5;2000;5_2000;S4;Edge;114.0035339
56590;560.237;656.425;S4_4_2000;4;2000;4_2000;S4;Mid;104.687307
66021;1358.654;666.133;S4_4_8000;4;8000;4_8000;S4;Edge;122.1339582
60255;157.382;667.049;S4_4_1000;4;1000;4_1000;S4;Edge;111.4672854
57565;972.46;664.695;S4_4_4000;4;4000;4_4000;S4;Mid;106.4909848
63317;1368.996;1113.844;S4_3_8000;3;8000;3_8000;S4;Edge;117.1317586
54197;972.665;1106.754;S4_3_4000;3;4000;3_4000;S4;Mid;100.2604343
53481;575.251;1115.47;S4_3_2000;3;2000;3_2000;S4;Mid;98.93588735
55644;167.365;1121.696;S4_3_1000;3;1000;3_1000;S4;Edge;102.9372771
58699;1369.265;1582.04;S4_2_8000;2;8000;2_8000;S4;Edge;108.5888007
51929;578.442;1581.549;S4_2_2000;2;2000;2_2000;S4;Mid;96.06480235
52977;164.347;1587.312;S4_2_1000;2;1000;2_1000;S4;Edge;98.0035247
50073;971.766;1586.264;S4_2_4000;2;4000;2_4000;S4;Mid;92.63133987
52808;1380.431;2036.067;S4_1_8000;1;8000;1_8000;S4;Edge;97.69088722
45850;572.753;2043.468;S4_1_2000;1;2000;1_2000;S4;Mid;84.81910277
43878;979.648;2046.243;S4_1_4000;1;4000;1_4000;S4;Mid;81.17104888
41433;162.32;2064.549;S4_1_1000;1;1000;1_1000;S4;Edge;76.64798004
48803;1384.118;2494.835;S4_0.5_8000;0.5;8000;0.5_8000;S4;Corner;90.28193397
43553;977.035;2489.524;S4_0.5_4000;0.5;4000;0.5_4000;S4;Edge;80.56982296
44115;572.364;2492.632;S4_0.5_2000;0.5;2000;0.5_2000;S4;Edge;81.60948132
44083;170.092;2499.826;S4_0.5_1000;0.5;1000;0.5_1000;S4;Corner;81.55028369
64707;1396.475;236.798;T1_2_8000;2;8000;2_8000;T1;Corner;119.7031556
57026;1013.721;232.341;T1_2_4000;2;4000;2_4000;T1;Edge;105.4938747
52739;591.55;228.12;T1_2_2000;2;2000;2_2000;T1;Edge;97.56324233
53284;196.19;232.051;T1_2_1000;2;1000;2_1000;T1;Corner;98.57145195
49371;1408.513;676.321;T1_1_8000;1;8000;1_8000;T1;Edge;91.33269188
45558;599.011;677.599;T1_1_2000;1;2000;1_2000;T1;Mid;84.2789244
44061;1016.63;676.764;T1_1_4000;1;4000;1_4000;T1;Mid;81.50958532
48914;202.737;690.61;T1_1_1000;1;1000;1_1000;T1;Edge;90.48727574
46678;1416.334;1122.018;T1_0.5_8000;0.5;8000;0.5_8000;T1;Edge;86.35084142
40454;1021.516;1134.825;T1_0.5_4000;0.5;4000;0.5_4000;T1;Mid;74.83690258
39828;593.625;1135.258;T1_0.5_2000;0.5;2000;0.5_2000;T1;Mid;73.67884897
38485;192.816;1145.607;T1_0.5_1000;0.5;1000;0.5_1000;T1;Edge;71.19439847
75879;1402.081;1584.401;T1_5_8000;5;8000;5_8000;T1;Edge;140.3705278
66168;590.684;1590.777;T1_5_2000;5;2000;5_2000;T1;Mid;122.4058973
67051;998.497;1602.239;T1_5_4000;5;4000;5_4000;T1;Mid;124.0393819
70070;184.746;1602.905;T1_5_1000;5;1000;5_1000;T1;Edge;129.6243082
67624;1404.348;2038.398;T1_4_8000;4;8000;4_8000;T1;Edge;125.0993894
59559;1006.729;2056.145;T1_4_4000;4;4000;4_4000;T1;Mid;110.179737
61865;183.616;2058.642;T1_4_1000;4;1000;4_1000;T1;Edge;114.4456661
57999;603.488;2056.666;T1_4_2000;4;2000;4_2000;T1;Mid;107.2938526
65839;1409.749;2504.722;T1_3_8000;3;8000;3_8000;T1;Corner;121.7972717
56780;604.474;2498.542;T1_3_2000;3;2000;3_2000;T1;Edge;105.0387929
57998;196.534;2499.791;T1_3_1000;3;1000;3_1000;T1;Corner;107.2920027
57919;1014.802;2516.833;T1_3_4000;3;4000;3_4000;T1;Edge;107.1458585
57555;219.403;208.134;T2_2_1000;2;1000;2_1000;T2;Corner;106.4724855
51709;633.428;209.317;T2_2_2000;2;2000;2_2000;T2;Edge;95.65781865
54107;1040.129;211.542;T2_2_4000;2;4000;2_4000;T2;Edge;100.093941
60961;1426.553;223.931;T2_2_8000;2;8000;2_8000;T2;Corner;112.7733331
47445;210.55;650.837;T2_1_1000;1;1000;1_1000;T2;Edge;87.76973459
50713;1405.287;665.918;T2_1_8000;1;8000;1_8000;T2;Edge;93.81529245
44764;623.048;660.544;T2_1_2000;1;2000;1_2000;T2;Mid;82.81008324
43611;1029.041;666.21;T2_1_4000;1;4000;1_4000;T2;Mid;80.67711867
43600;216.442;1119.564;T2_0.5_1000;0.5;1000;0.5_1000;T2;Edge;80.65676948
37448;603.07;1112.411;T2_0.5_2000;0.5;2000;0.5_2000;T2;Mid;69.27602531
46110;1398.173;1135.192;T2_0.5_8000;0.5;8000;0.5_8000;T2;Edge;85.3000835
37292;1019.656;1126.734;T2_0.5_4000;0.5;4000;0.5_4000;T2;Mid;68.98743687
71681;195.506;1563.043;T2_5_1000;5;1000;5_1000;T2;Edge;132.6045388
64577;601.073;1563.009;T2_5_2000;5;2000;5_2000;T2;Mid;119.4626652
64457;1005.709;1581.869;T2_5_4000;5;4000;5_4000;T2;Mid;119.2406741
74624;1383.386;1590.29;T2_5_8000;5;8000;5_8000;T2;Edge;138.0488708
63005;197.521;2026.246;T2_4_1000;4;1000;4_1000;T2;Edge;116.5545817
67752;1380.528;2040.673;T2_4_8000;4;8000;4_8000;T2;Edge;125.33618
56753;591.585;2052.412;T2_4_2000;4;2000;4_2000;T2;Mid;104.9888449
57430;996.548;2055.365;T2_4_4000;4;4000;4_4000;T2;Mid;106.2412448
60339;184.263;2484.208;T2_3_1000;3;1000;3_1000;T2;Corner;111.6226792
56149;592.582;2494.233;T2_3_2000;3;2000;3_2000;T2;Edge;103.8714897
65590;1379.735;2509.784;T2_3_8000;3;8000;3_8000;T2;Corner;121.3366401
55998;988.134;2505.632;T2_3_4000;3;4000;3_4000;T2;Edge;103.5921509
59692;648.962;213.624;V1_5_8000;5;8000;5_8000;V1;Edge;110.4257772
67619;1432.768;221.315;V1_5_2000;5;2000;5_2000;V1;Corner;125.0901398
59512;1069.839;229.411;V1_5_1000;5;1000;5_1000;V1;Edge;110.0927905
60576;633.166;655.184;V1_4_8000;4;8000;4_8000;V1;Mid;112.0611117
57677;1053.247;652.629;V1_4_1000;4;1000;4_1000;V1;Mid;106.6981765
62652;236.253;658.813;V1_4_4000;4;4000;4_4000;V1;Edge;115.9015578
65127;1431.175;663.235;V1_4_2000;4;2000;4_2000;V1;Edge;120.4801245
59793;220.001;1110.397;V1_3_4000;3;4000;3_4000;V1;Edge;110.6126197
55932;622.491;1113.194;V1_3_8000;3;8000;3_8000;V1;Mid;103.4700557
55176;1044.069;1121.19;V1_3_1000;3;1000;3_1000;V1;Mid;102.0715118
62852;1426.38;1126.943;V1_3_2000;3;2000;3_2000;V1;Edge;116.271543
56478;215.759;1565.285;V1_2_4000;2;4000;2_4000;V1;Edge;104.4801153
52074;606.664;1580.43;V1_2_8000;2;8000;2_8000;V1;Mid;96.33304161
48307;1037.83;1593.129;V1_2_1000;2;1000;2_1000;V1;Mid;89.36437072
57571;1417.812;1609.967;V1_2_2000;2;2000;2_2000;V1;Edge;106.5020843
49927;201.986;2016.882;V1_1_4000;1;4000;1_4000;V1;Edge;92.36125069
45604;601.179;2033.716;V1_1_8000;1;8000;1_8000;V1;Mid;84.364021
44128;1015.824;2049.474;V1_1_1000;1;1000;1_1000;V1;Mid;81.63353036
43831;199.528;2465.663;V1_0.5_4000;0.5;4000;0.5_4000;V1;Corner;81.08410237
44899;1028.781;2483.915;V1_0.5_1000;0.5;1000;0.5_1000;V1;Edge;83.05982323
50271;1413.331;2501.502;V1_0.5_2000;0.5;2000;0.5_2000;V1;Corner;92.9976252
72133;1409.566;189.804;S1_5_8000;5;8000;5_8000;S1;Corner;133.4407053
64136;1015.763;199.427;S1_5_4000;5;4000;5_4000;S1;Edge;118.6468479
66492;184.531;206.494;S1_5_1000;5;1000;5_1000;S1;Corner;123.0052733
63930;601.755;209.091;S1_5_2000;5;2000;5_2000;S1;Edge;118.2657631
59703;1010.299;651.428;S1_4_4000;4;4000;4_4000;S1;Mid;110.4461263
59730;604.252;653.861;S1_4_2000;4;2000;4_2000;S1;Mid;110.4960743
68469;1401.865;673.347;S1_4_8000;4;8000;4_8000;S1;Edge;126.6625768
62599;190.193;672.282;S1_4_1000;4;1000;4_1000;S1;Edge;115.8035118
54988;1010.445;1114.694;S1_3_4000;3;4000;3_4000;S1;Mid;101.7237257
63950;1395.842;1122.659;S1_3_8000;3;8000;3_8000;S1;Edge;118.3027617
59674;181.034;1124.309;S1_3_1000;3;1000;3_1000;S1;Edge;110.3924785
56657;592.142;1128.135;S1_3_2000;3;2000;3_2000;S1;Mid;104.811252
60363;1398.251;1581.785;S1_2_8000;2;8000;2_8000;S1;Edge;111.6670774
52471;1001.81;1591.844;S1_2_4000;2;4000;2_4000;S1;Mid;97.06746219
54387;184.22;1595.235;S1_2_1000;2;1000;2_1000;S1;Edge;100.6119202
51893;602.578;1600.507;S1_2_2000;2;2000;2_2000;S1;Mid;95.99820502
55112;1393.217;2041.042;S1_1_8000;1;8000;1_8000;S1;Edge;101.9531165
47449;191.526;2048.165;S1_1_1000;1;1000;1_1000;S1;Edge;87.77713429
43328;590.176;2047.273;S1_1_2000;1;2000;1_2000;S1;Mid;80.15358964
44045;1001.588;2053.146;S1_1_4000;1;4000;1_4000;S1;Mid;81.47998651
45402;189.315;2492.56;S1_0.5_1000;0.5;1000;0.5_1000;S1;Corner;83.99033596
42099;1012.651;2488.777;S1_0.5_4000;0.5;4000;0.5_4000;S1;Edge;77.8800307
54578;1394.668;2505.574;S1_0.5_8000;0.5;8000;0.5_8000;S1;Corner;100.9652561
45393;598.397;2502.663;S1_0.5_2000;0.5;2000;0.5_2000;S1;Edge;83.97368663
64137;633.818;182.173;S2_5_2000;5;2000;5_2000;S2;Edge;118.6486978
65074;1032.587;193.721;S2_5_4000;5;4000;5_4000;S2;Edge;120.3820784
66183;217.753;193.023;S2_5_1000;5;1000;5_1000;S2;Corner;122.4336462
74754;1405.241;213.503;S2_5_8000;5;8000;5_8000;S2;Corner;138.2893611
61443;219.867;645.122;S2_4_1000;4;1000;4_1000;S2;Edge;113.6649974
59893;623.047;663.575;S2_4_2000;4;2000;4_2000;S2;Mid;110.7976123
70244;1418.583;676.159;S2_4_8000;4;8000;4_8000;S2;Edge;129.9461953
60234;1034.206;671.51;S2_4_4000;4;4000;4_4000;S2;Mid;111.428437
55577;1017.057;1106.438;S2_3_4000;3;4000;3_4000;S2;Mid;102.8133321
56758;613.91;1110.204;S2_3_2000;3;2000;3_2000;S2;Mid;104.9980945
64587;1412.963;1117.025;S2_3_8000;3;8000;3_8000;S2;Edge;119.4811645
59101;206.464;1113.031;S2_3_1000;3;1000;3_1000;S2;Edge;109.3324709
53396;203.857;1581.217;S2_2_1000;2;1000;2_1000;S2;Edge;98.77864365
61015;1400.224;1592.422;S2_2_8000;2;8000;2_8000;S2;Edge;112.8732291
53183;604.63;1591.879;S2_2_2000;2;2000;2_2000;S2;Mid;98.38460943
51621;1015.385;1600.221;S2_2_4000;2;4000;2_4000;S2;Mid;95.49502517
47113;187.255;2035.393;S2_1_1000;1;1000;1_1000;S2;Edge;87.15555919
52826;1404.996;2052.066;S2_1_8000;1;8000;1_8000;S2;Edge;97.72418589
45025;590.717;2045.389;S2_1_2000;1;2000;1_2000;S2;Mid;83.2929139
44000;993.293;2045.757;S2_1_4000;1;4000;1_4000;S2;Mid;81.39673984
52142;1409.106;2485.244;S2_0.5_8000;0.5;8000;0.5_8000;S2;Corner;96.45883657
44086;592.9;2481.102;S2_0.5_2000;0.5;2000;0.5_2000;S2;Edge;81.55583347
44338;196.138;2481.686;S2_0.5_1000;0.5;1000;0.5_1000;S2;Corner;82.0220148
45778;1007.877;2487.073;S2_0.5_4000;0.5;4000;0.5_4000;S2;Edge;84.6859081
63396;1049.633;244.264;S3_5_4000;5;4000;5_4000;S3;Edge;117.2779027
62876;636.814;246.663;S3_5_2000;5;2000;5_2000;S3;Edge;116.3159412
65766;246.736;251.019;S3_5_1000;5;1000;5_1000;S3;Corner;121.6622271
69548;1434.721;256.147;S3_5_8000;5;8000;5_8000;S3;Corner;128.6586469
62145;235.672;700.199;S3_4_1000;4;1000;4_1000;S3;Edge;114.9636454
59243;614.045;702.379;S3_4_2000;4;2000;4_2000;S3;Mid;109.5951604
59900;1048.971;704.845;S3_4_4000;4;4000;4_4000;S3;Mid;110.8105617
67074;1423.902;718.4;S3_4_8000;4;8000;4_8000;S3;Edge;124.0819302
54189;1031.581;1134.619;S3_3_4000;3;4000;3_4000;S3;Mid;100.2456349
62395;1419.058;1143.53;S3_3_8000;3;8000;3_8000;S3;Edge;115.4261269
55439;613.056;1145.56;S3_3_2000;3;2000;3_2000;S3;Mid;102.5580423
58390;220.18;1157.544;S3_3_1000;3;1000;3_1000;S3;Edge;108.0171736
54061;1031.433;1615.21;S3_2_4000;2;4000;2_4000;S3;Mid;100.0088444
59509;1398.787;1631.359;S3_2_8000;2;8000;2_8000;S3;Edge;110.0872407
54861;204.501;1630.593;S3_2_1000;2;1000;2_1000;S3;Edge;101.4887851
52082;595.721;1637.285;S3_2_2000;2;2000;2_2000;S3;Mid;96.34784101
52966;1399.889;2090.125;S3_1_8000;1;8000;1_8000;S3;Edge;97.98317551
46686;192.23;2087.77;S3_1_1000;1;1000;1_1000;S3;Edge;86.36564083
44251;583.617;2089.108;S3_1_2000;1;2000;1_2000;S3;Mid;81.86107125
45641;1010.556;2097.566;S3_1_4000;1;4000;1_4000;S3;Mid;84.43246825
45067;193.969;2519.231;S3_0.5_1000;0.5;1000;0.5_1000;S3;Corner;83.37061079
44727;588.059;2529.5;S3_0.5_2000;0.5;2000;0.5_2000;S3;Edge;82.74163598
50408;1402.893;2551.051;S3_0.5_8000;0.5;8000;0.5_8000;S3;Corner;93.25106505
45639;1015.313;2549.889;S3_0.5_4000;0.5;4000;0.5_4000;S3;Edge;84.4287684
